UserID,MovieTitle,Genre,WatchTime_Mins,UserRating,SubscriptionType
U-8388,Friends,Comedy,129,4.8,Standard
U-2931,Stranger Things,Sci-Fi,19,1.8,Standard
U-3380,Narcos,Crime,154,2.0,Standard
U-8627,Game of Thrones,Fantasy,140,3.2,Basic
U-6025,The Matrix,Sci-Fi,16,4.0,Basic
U-7710,Stranger Things,Sci-Fi,175,4.2,Basic
U-9240,Interstellar,Sci-Fi,147,3.3,Basic
U-1212,Narcos,Crime,144,,Basic
U-1572,Interstellar,Sci-Fi,116,4.6,Basic
U-6993,Game of Thrones,Fantasy,71,4.8,Basic
U-4779,Game of Thrones,Fantasy,123,,Standard
U-3356,Narcos,Crime,128,1.6,Basic
U-8106,Narcos,Crime,52,2.4,Basic
U-2710,The Matrix,Sci-Fi,138,1.9,Premium
U-6779,The Dark Knight,Action,7,2.4,Standard
U-8897,Narcos,Crime,103,2.3,Basic
U-5464,Game of Thrones,Fantasy,114,,Standard
U-7722,Interstellar,Sci-Fi,171,3.1,Standard
U-5339,Narcos,Crime,132,1.7,Standard
U-6301,Friends,Comedy,21,4.4,Standard
U-8205,Narcos,Crime,57,,Basic
U-8120,Inception,Sci-Fi,36,3.4,Basic
U-5730,Friends,Comedy,114,3.3,Basic
U-4443,Stranger Things,Sci-Fi,9,1.7,Basic
U-4680,Stranger Things,Sci-Fi,87,2.8,Basic
U-4038,The Dark Knight,Action,33,3.4,Basic
U-1861,The Dark Knight,Action,38,3.2,Standard
U-2995,Interstellar,Sci-Fi,109,3.3,Basic
U-1333,Breaking Bad,Crime,20,2.7,Premium
U-8732,Inception,Sci-Fi,180,,Basic
U-4948,Stranger Things,Sci-Fi,36,4.7,Standard
U-6321,Breaking Bad,Crime,6,4.4,Standard
U-8376,Friends,Comedy,145,,Basic
U-1313,Game of Thrones,Fantasy,76,3.9,Basic
U-7023,The Dark Knight,Action,14,3.1,Premium
U-1705,The Matrix,Sci-Fi,50,1.3,Premium
U-5424,The Dark Knight,Action,136,2.7,Basic
U-6506,Breaking Bad,Crime,121,,Standard
U-3124,The Matrix,Sci-Fi,83,2.0,Standard
U-1964,Inception,Sci-Fi,127,3.1,Standard
U-5834,Narcos,Crime,124,3.4,Standard
U-3949,Friends,Comedy,124,,Basic
U-1857,Game of Thrones,Fantasy,6,,Standard
U-2487,Money Heist,Crime,97,,Standard
U-3696,Narcos,Crime,133,2.7,Basic
U-2437,Narcos,Crime,159,3.1,Premium
U-2730,Stranger Things,Sci-Fi,91,5.0,Premium
U-8790,The Dark Knight,Action,120,1.7,Standard
U-6662,Breaking Bad,Crime,158,1.2,Basic
U-6904,Friends,Comedy,149,4.7,Standard
U-8982,Inception,Sci-Fi,164,1.6,Standard
U-8585,The Dark Knight,Action,36,3.4,Basic
U-5994,Stranger Things,Sci-Fi,103,2.0,Basic
U-3751,Stranger Things,Sci-Fi,171,2.4,Basic
U-2755,Inception,Sci-Fi,56,4.6,Premium
U-6498,Interstellar,Sci-Fi,91,3.2,Basic
U-5376,Inception,Sci-Fi,129,,Premium
U-3382,Stranger Things,Sci-Fi,142,1.9,Standard
U-2259,Interstellar,Sci-Fi,136,4.1,Basic
U-7354,Game of Thrones,Fantasy,149,4.1,Basic
U-2981,Interstellar,Sci-Fi,55,,Basic
U-3657,Narcos,Crime,58,4.0,Basic
U-4269,Friends,Comedy,24,2.3,Standard
U-7415,Game of Thrones,Fantasy,83,4.6,Standard
U-1068,The Matrix,Sci-Fi,67,4.2,Basic
U-6801,Game of Thrones,Fantasy,89,3.7,Basic
U-3248,The Dark Knight,Action,147,,Standard
U-9597,The Dark Knight,Action,72,2.0,Basic
U-1143,Friends,Comedy,67,1.8,Basic
U-5449,Friends,Comedy,75,,Premium
U-1902,Interstellar,Sci-Fi,125,3.1,Basic
U-7908,Friends,Comedy,110,2.6,Standard
U-2669,Inception,Sci-Fi,64,1.5,Standard
U-6225,Stranger Things,Sci-Fi,9,3.7,Basic
U-4473,The Matrix,Sci-Fi,62,1.4,Basic
U-3061,Friends,Comedy,9,2.1,Basic
U-1406,Breaking Bad,Crime,157,3.3,Premium
U-9429,The Dark Knight,Action,84,3.5,Standard
U-2616,Money Heist,Crime,14,1.2,Standard
U-6861,Interstellar,Sci-Fi,179,1.9,Basic
U-6694,Interstellar,Sci-Fi,30,,Basic
U-2511,Narcos,Crime,110,4.6,Standard
U-6964,Narcos,Crime,120,4.8,Basic
U-7930,Breaking Bad,Crime,84,1.0,Standard
U-6311,Inception,Sci-Fi,139,,Standard
U-1994,Stranger Things,Sci-Fi,175,4.9,Standard
U-5743,Inception,Sci-Fi,17,3.9,Basic
U-3134,Game of Thrones,Fantasy,85,4.2,Basic
U-2484,Game of Thrones,Fantasy,143,4.8,Basic
U-4185,Breaking Bad,Crime,124,4.9,Basic
U-6733,The Matrix,Sci-Fi,5,3.3,Standard
U-8821,Money Heist,Crime,7,3.1,Standard
U-3981,The Dark Knight,Action,86,3.9,Basic
U-4316,Narcos,Crime,155,3.7,Basic
U-8827,Interstellar,Sci-Fi,168,2.0,Basic
U-1720,Friends,Comedy,154,2.1,Premium
U-3231,Interstellar,Sci-Fi,81,1.7,Basic
U-4278,Breaking Bad,Crime,6,2.4,Basic
U-1819,Inception,Sci-Fi,158,3.4,Basic
U-6248,Narcos,Crime,146,3.1,Basic
U-1093,Interstellar,Sci-Fi,39,1.1,Basic
U-4714,Game of Thrones,Fantasy,157,3.9,Basic
U-6144,The Matrix,Sci-Fi,21,3.2,Basic
U-2647,Game of Thrones,Fantasy,106,2.6,Basic
U-4210,The Dark Knight,Action,131,4.7,Premium
U-1388,Stranger Things,Sci-Fi,144,2.5,Basic
U-7365,Game of Thrones,Fantasy,15,4.9,Standard
U-2051,Breaking Bad,Crime,173,1.3,Standard
U-3273,Narcos,Crime,130,4.4,Standard
U-4716,The Matrix,Sci-Fi,176,4.7,Basic
U-9923,Narcos,Crime,84,1.0,Basic
U-6545,The Matrix,Sci-Fi,95,1.9,Premium
U-4873,Game of Thrones,Fantasy,94,4.8,Standard
U-1863,Game of Thrones,Fantasy,112,4.2,Standard
U-2263,Stranger Things,Sci-Fi,148,,Standard
U-8050,Interstellar,Sci-Fi,96,1.6,Standard
U-2591,Money Heist,Crime,76,4.0,Basic
U-4233,Interstellar,Sci-Fi,158,4.6,Premium
U-3643,Narcos,Crime,120,1.3,Standard
U-7447,Interstellar,Sci-Fi,140,,Basic
U-2893,Stranger Things,Sci-Fi,8,,Premium
U-5736,The Matrix,Sci-Fi,178,2.2,Standard
U-7784,Money Heist,Crime,112,,Basic
U-1109,Interstellar,Sci-Fi,16,4.4,Basic
U-9243,Friends,Comedy,102,2.7,Basic
U-9238,Friends,Comedy,89,,Standard
U-5311,Game of Thrones,Fantasy,7,,Premium
U-9305,Friends,Comedy,59,1.3,Standard
U-7323,The Dark Knight,Action,133,2.4,Basic
U-7299,The Matrix,Sci-Fi,67,3.6,Basic
U-1793,Friends,Comedy,50,,Basic
U-2811,Breaking Bad,Crime,105,2.5,Premium
U-5788,Stranger Things,Sci-Fi,78,2.5,Basic
U-4932,Friends,Comedy,10,2.6,Standard
U-1670,The Matrix,Sci-Fi,87,3.0,Basic
U-1279,Game of Thrones,Fantasy,153,1.3,Basic
U-6558,The Matrix,Sci-Fi,177,3.7,Basic
U-9911,Game of Thrones,Fantasy,117,,Basic
U-8434,Game of Thrones,Fantasy,129,2.5,Standard
U-6788,Breaking Bad,Crime,97,3.4,Basic
U-1252,Interstellar,Sci-Fi,133,,Basic
U-8741,Friends,Comedy,132,1.2,Premium
U-5176,Inception,Sci-Fi,139,1.3,Standard
U-2817,Narcos,Crime,164,3.9,Basic
U-3331,Breaking Bad,Crime,152,2.8,Basic
U-4052,Narcos,Crime,28,,Basic
U-7787,Friends,Comedy,140,4.0,Premium
U-7864,Friends,Comedy,168,4.4,Basic
U-7034,The Dark Knight,Action,16,,Basic
U-8675,The Dark Knight,Action,108,3.8,Premium
U-1196,Narcos,Crime,61,4.5,Standard
U-2347,Game of Thrones,Fantasy,126,3.7,Basic
U-9161,The Matrix,Sci-Fi,17,3.6,Basic
U-7822,Inception,Sci-Fi,74,,Basic
U-8435,The Matrix,Sci-Fi,5,,Standard
U-7120,Interstellar,Sci-Fi,161,3.4,Premium
U-4583,Interstellar,Sci-Fi,69,5.0,Basic
U-7442,Inception,Sci-Fi,91,3.8,Basic
U-5026,Breaking Bad,Crime,149,3.2,Basic
U-4983,Inception,Sci-Fi,134,1.4,Basic
U-2192,Game of Thrones,Fantasy,128,,Premium
U-9112,Inception,Sci-Fi,49,3.9,Basic
U-8010,Inception,Sci-Fi,126,1.3,Premium
U-1656,The Matrix,Sci-Fi,153,2.4,Basic
U-7597,Game of Thrones,Fantasy,63,2.6,Basic
U-8883,Friends,Comedy,37,,Standard
U-5069,Stranger Things,Sci-Fi,68,4.0,Standard
U-7994,Friends,Comedy,80,3.8,Basic
U-9313,Money Heist,Crime,120,,Basic
U-4542,Inception,Sci-Fi,177,2.6,Premium
U-3087,The Dark Knight,Action,153,4.9,Standard
U-4986,The Matrix,Sci-Fi,90,4.7,Basic
U-5541,Breaking Bad,Crime,84,4.7,Premium
U-3244,The Matrix,Sci-Fi,65,,Basic
U-8638,The Dark Knight,Action,19,,Basic
U-5996,Game of Thrones,Fantasy,40,4.4,Basic
U-3220,Money Heist,Crime,76,3.5,Basic
U-1797,Stranger Things,Sci-Fi,143,3.7,Premium
U-4722,Money Heist,Crime,120,,Basic
U-6930,Breaking Bad,Crime,125,,Standard
U-2251,The Dark Knight,Action,147,2.0,Standard
U-1229,Interstellar,Sci-Fi,115,3.7,Premium
U-9528,Interstellar,Sci-Fi,5,3.5,Premium
U-5975,Interstellar,Sci-Fi,62,2.1,Basic
U-5129,Stranger Things,Sci-Fi,109,,Standard
U-6520,Game of Thrones,Fantasy,158,1.1,Basic
U-3900,The Dark Knight,Action,46,,Basic
U-3822,Inception,Sci-Fi,19,2.3,Standard
U-2228,The Dark Knight,Action,82,1.8,Standard
U-9964,Friends,Comedy,89,4.7,Basic
U-5895,Interstellar,Sci-Fi,103,3.0,Standard
U-8351,Friends,Comedy,90,2.3,Standard
U-9282,Inception,Sci-Fi,40,4.3,Basic
U-4164,Game of Thrones,Fantasy,163,3.8,Basic
U-5369,Inception,Sci-Fi,158,2.3,Premium
U-6059,The Matrix,Sci-Fi,31,,Premium
U-9642,Breaking Bad,Crime,38,2.5,Standard
U-7481,Breaking Bad,Crime,25,4.6,Basic
U-5684,The Dark Knight,Action,173,,Premium
U-9079,Friends,Comedy,7,2.2,Standard
U-3797,Narcos,Crime,151,1.9,Basic
U-6653,The Matrix,Sci-Fi,57,,Standard
U-7813,Inception,Sci-Fi,165,3.6,Premium
U-6485,Narcos,Crime,141,,Standard
U-1167,Game of Thrones,Fantasy,22,3.8,Basic
U-8355,Interstellar,Sci-Fi,178,,Basic
U-6605,Friends,Comedy,101,3.0,Standard
U-2635,The Dark Knight,Action,34,,Premium
U-4470,Friends,Comedy,96,2.0,Basic
U-9145,Friends,Comedy,57,3.2,Basic
U-5118,Narcos,Crime,154,1.0,Standard
U-4049,Money Heist,Crime,121,,Basic
U-6732,The Dark Knight,Action,130,4.4,Basic
U-7139,The Matrix,Sci-Fi,8,1.5,Premium
U-9734,Breaking Bad,Crime,82,2.5,Standard
U-2003,Friends,Comedy,36,2.1,Premium
U-7456,Breaking Bad,Crime,127,2.1,Basic
U-4083,Stranger Things,Sci-Fi,121,4.1,Standard
U-8135,Narcos,Crime,90,2.5,Premium
U-9505,The Matrix,Sci-Fi,5,3.7,Basic
U-6763,Interstellar,Sci-Fi,52,3.4,Standard
U-7611,Friends,Comedy,107,,Basic
U-7458,The Dark Knight,Action,100,2.6,Standard
U-1565,Money Heist,Crime,111,4.3,Basic
U-4235,Game of Thrones,Fantasy,49,2.2,Standard
U-4337,Interstellar,Sci-Fi,105,1.6,Standard
U-5520,Stranger Things,Sci-Fi,157,4.3,Basic
U-4092,Narcos,Crime,35,2.5,Standard
U-9721,Friends,Comedy,139,2.9,Basic
U-3420,Money Heist,Crime,166,,Premium
U-1131,Stranger Things,Sci-Fi,150,4.0,Premium
U-1574,The Dark Knight,Action,55,4.3,Basic
U-1193,Inception,Sci-Fi,105,1.8,Basic
U-8823,Money Heist,Crime,110,1.2,Basic
U-1427,Money Heist,Crime,41,3.3,Standard
U-9941,Money Heist,Crime,91,4.7,Standard
U-5952,The Matrix,Sci-Fi,107,3.9,Standard
U-3193,Inception,Sci-Fi,114,4.2,Standard
U-5282,Breaking Bad,Crime,48,2.4,Basic
U-6204,Interstellar,Sci-Fi,154,1.3,Standard
U-6138,The Matrix,Sci-Fi,103,3.9,Premium
U-1088,Inception,Sci-Fi,39,2.8,Standard
U-6792,Breaking Bad,Crime,21,1.0,Standard
U-2720,Stranger Things,Sci-Fi,95,2.6,Basic
U-1189,Stranger Things,Sci-Fi,13,3.3,Premium
U-4600,Game of Thrones,Fantasy,121,1.2,Basic
U-8568,Stranger Things,Sci-Fi,122,5.0,Standard
U-2644,Inception,Sci-Fi,158,4.9,Basic
U-9071,Breaking Bad,Crime,85,,Standard
U-8164,Interstellar,Sci-Fi,119,,Basic
U-2116,Game of Thrones,Fantasy,98,2.1,Standard
U-7396,Narcos,Crime,177,2.3,Basic
U-5714,Interstellar,Sci-Fi,169,,Basic
U-9326,Narcos,Crime,115,3.6,Standard
U-1193,The Matrix,Sci-Fi,145,1.8,Basic
U-3321,The Matrix,Sci-Fi,98,3.2,Basic
U-5965,Interstellar,Sci-Fi,133,,Basic
U-9376,Stranger Things,Sci-Fi,84,1.6,Basic
U-7432,Narcos,Crime,19,1.3,Standard
U-2668,Game of Thrones,Fantasy,6,1.0,Premium
U-7801,Game of Thrones,Fantasy,53,,Premium
U-6204,Narcos,Crime,33,2.0,Basic
U-4135,Inception,Sci-Fi,169,4.0,Premium
U-2670,Interstellar,Sci-Fi,92,1.7,Basic
U-7894,Interstellar,Sci-Fi,31,2.4,Premium
U-9973,Friends,Comedy,136,,Standard
U-1359,Inception,Sci-Fi,117,2.8,Premium
U-6824,Friends,Comedy,20,1.7,Premium
U-7180,Breaking Bad,Crime,153,,Basic
U-2838,Money Heist,Crime,8,1.9,Basic
U-4711,Breaking Bad,Crime,158,,Basic
U-7947,The Dark Knight,Action,36,,Basic
U-8433,The Matrix,Sci-Fi,171,1.4,Standard
U-7603,The Dark Knight,Action,158,3.0,Basic
U-6569,The Matrix,Sci-Fi,29,4.4,Basic
U-3126,Friends,Comedy,98,1.9,Basic
U-7009,Breaking Bad,Crime,109,,Basic
U-3975,Interstellar,Sci-Fi,21,3.3,Basic
U-1289,The Matrix,Sci-Fi,37,1.9,Premium
U-8322,Breaking Bad,Crime,124,1.3,Premium
U-5403,Game of Thrones,Fantasy,70,,Standard
U-8396,Interstellar,Sci-Fi,12,2.1,Basic
U-3426,The Matrix,Sci-Fi,175,3.0,Standard
U-8462,Interstellar,Sci-Fi,125,1.8,Basic
U-1363,Friends,Comedy,177,5.0,Standard
U-7093,Friends,Comedy,50,,Basic
U-3133,Game of Thrones,Fantasy,109,1.8,Basic
U-1402,The Matrix,Sci-Fi,63,3.3,Basic
U-7412,The Matrix,Sci-Fi,22,,Standard
